A,B,Link Size
Altria,John Thune,2
ConocoPhillips,John Thune,2
CoreCivic,John Thune,2
Civitas Institute,John W Pope Civitas Institute,2
DonorsTrust/Donors Capital Fund,John W Pope Civitas Institute,2
John William Pope Foundation,John W Pope Civitas Institute,2
Art Pope,John William Pope Foundation,2
Cone,Johnson & Johnson,2
Edelman,Johnson & Johnson,2
Ian Davis,Johnson & Johnson,2
Sandra Peterson,Johnson & Johnson,2
Woody Johnson,Johnson & Johnson,2
AIPAC,Jon Tester,2
ExxonMobil,Jon Tester,2
Capitol Campaign Strategies,Jon van Horne,2
Rule of Law Trust,Jonathan Bunch,2
Arnaud de Borchgrave,Jonathan Institute,2
Benjamin Netanyahu,Jonathan Institute,2
Brian Crozier,Jonathan Institute,2
Charles Krauthammer,Jonathan Institute,2
Ed Meese,Jonathan Institute,2
George H.W. Bush,Jonathan Institute,2
George Schultz,Jonathan Institute,2
Jack Kemp,Jonathan Institute,2
Jeane Kirkpatrick,Jonathan Institute,2
Lord Chalfont,Jonathan Institute,2
Menachem Begin,Jonathan Institute,2
Midge Decter,Jonathan Institute,2
Norman Podhoretz,Jonathan Institute,2
Ray Cline,Jonathan Institute,2
Richard Pipes,Jonathan Institute,2
Robert Moss,Jonathan Institute,2
Shimon Peres,Jonathan Institute,2
Ted Olson,Jonathan Pollard,2
Don McGahn,Jones Day,2
Bayer,Joni Ernst,2
Derick Cooper,Jordan Peterson,2
Steve Koonin,Jordan Peterson,2
Jay Sekulow,Jordan Sekulow,2
Claude Pepper ,Jorge Villaverde,2
Josefina Carbonell,Jorge Villaverde,2
Maurice Ferré,Jorge Villaverde,2
Pete Coors,Joseph Coors,2
Scott Pruitt,Joseph Craft,2
Joseph Craft Fortune,Joseph Craft Fortune,2
Lev Parnas,Joseph diGenova,2
Sidney Powell,Joseph diGenova,2
George Papadopoulos,Joseph Mifsud,2
Stephan Roh,Joseph Mifsud,2
AIPAC,Josh Gottheimer,2
SKDK,Josh Gottheimer,2
AIPAC,Josh Hawley,2
BNB Ventures,Josh Hawley,2
GEO Group,Josh Hawley,2
Quantum Capital Group,Josh Hawley,2
Jared Kushner,Joshua Kushner,2
Ben Domenech,Joshua Treviño,2
Chuck DeVore,Joshua Treviño,2
Rachel Ehrenfeld,Joshua Treviño,2
Seth Mandel,Joshua Treviño,2
Altria,Josiah Bartlett Center for Public Policy,2
DonorsTrust/Donors Capital Fund,Josiah Bartlett Center for Public Policy,2
Roe Fortune,Josiah Bartlett Center for Public Policy,2
State Policy Network,Josiah Bartlett Center for Public Policy,2
Diana Farrell,JPMorgan,2
Avik Roy,JPMorgan Chase,2
Covington & Burling,JPMorgan Chase,2
David Cote,JPMorgan Chase,2
David O'Reilly,JPMorgan Chase,2
David Rubenstein,JPMorgan Chase,2
Derwood Chase Jr.,JPMorgan Chase,2
Elbit Systems,JPMorgan Chase,2
Gavin Anderson & Company,JPMorgan Chase,2
Jamie Dimon,JPMorgan Chase,2
Jeffrey Epstein,JPMorgan Chase,2
Jes Staley,JPMorgan Chase,2
Jho Low,JPMorgan Chase,2
Jim McGee,JPMorgan Chase,2
Lester Crown,JPMorgan Chase,2
Marjorie Taylor Green,JPMorgan Chase,2
Palantir,JPMorgan Chase,2
William Daley,JPMorgan Chase,2
William Daley,JPMorgan Chase,2
AIPAC,Juan Ciscomani,2
Quantum Capital Group,Juan Ciscomani,2
Anschutz Fortune,Judicial Watch,2
Bill Dunn Fortune,Judicial Watch,2
DonorsTrust/Donors Capital Fund,Judicial Watch,2
John M. Olin Foundation,Judicial Watch,2
Joseph Humire,Judicial Watch,2
Larry Klayman,Judicial Watch,2
Mellon Scaife Fortune,Judicial Watch,2
Michael Ledeen,Judicial Watch,2
Murray Energy,Judicial Watch,2
Prince Fortune,Judicial Watch,2
Thomas Smith Fortune,Judicial Watch,2
Tom Fitton,Judicial Watch,2
John Christy,Judith Curry,2
Roy Spencer,Judith Curry,2
Steve Koonin,Judith Curry,2
Eleana Benador,Judith Miller,2
Iraqi National Congress,Judith Miller,2
Scooter Libby,Judith Miller,2
Victoria Toensing,Judith Miller,2
Alexander Yakovenko,Julian Asange,2
Nigel Farage,Julian Asange,2
Roger Stone,Julian Asange,2
Paul Manafort,Julian Assange,2
Roger Stone,Julian Assange,2
Alex Jones,Julie Fancelli,2
ExxonMobil,Julie Johnson,2
Steven Milloy,JunkScience.com,2
Chuck Colson,Justice Sunday,2
James Dobson,Justice Sunday,2
Jerry Falwell,Justice Sunday,2
Phyllis Schlafly,Justice Sunday,2
Rick Santorum,Justice Sunday,2
Robert Bork,Justice Sunday,2
Tom DeLay,Justice Sunday,2
Tony Perkins,Justice Sunday,2
Zell Miller,Justice Sunday,2
Grover Norquist,K Street Project,2
Rick Santorum,K Street Project,2
Tom DeLay,K Street Project,2
Ed Rogers,Kamal Adham,2
George H.W. Bush,Kamal Adham,2
Hassan Yassin,Kamal Adham,2
Bayer,Kamala Harris,2
Cerberus,Kamala Harris,2
Chevron,Kamala Harris,2
Coca-Cola,Kamala Harris,2
ConocoPhillips,Kamala Harris,2
ExxonMobil,Kamala Harris,2
GEO Group,Kamala Harris,2
Altria,Kansas Policy Institute,2
DonorsTrust/Donors Capital Fund,Kansas Policy Institute,2
George Pearson,Kansas Policy Institute,2
Mike Pompeo,Kansas Policy Institute,2
Roe Fortune,Kansas Policy Institute,2
State Policy Network,Kansas Policy Institute,2
Donald Trump,Kanye West,2
Jill Vogel,Kanye West,2
Nick Fuentes,Kanye West,2
Private Internet Access,Kape Technologies,2
Teddy Sagi,Kape Technologies,2
Dan Bartlett,Karen Hughes,2
GEO Group,Kari Lake,2
National Shooting Sports Foundation,Kari Lake,2
Quantum Capital Group,Kari Lake,2
Bob Perry,Karl Rove,2
Harold Simmons,Karl Rove,2
Sara Taylor,Karl Rove,2
Susan Ralston,Karl Rove,2
Tony Feather,Karl Rove,2
Nikanor,Katanga Mining,2
Telis Mistakidis,Katanga Mining,2
Ann Corkery,Kathleen Corkery,2
Neil Corkery,Kathleen Corkery,2
Jeffrey Epstein,Kathryn Ruemmler,2
GEO Group,Katie Boyd Britt,2
Southern Company,Katie Boyd Britt,2
Sebastian Gorka,Katie Gorka,2
Eli Broad,KB Home,2
Stephen Bollenbach,KB Home,2
Honeywell,KBR,2
Bill Kristol,Keep America Safe,2
Liz Cheney ,Keep America Safe,2
Michael Goldfarb,Keep America Safe,2
Craig Idso,Keith Idso,2
Nigel Vinson,Keith Joseph,2
David Sacks,Keith Rabois,2
Ann McLaughlin Korologos,Kellogg,2
Glover Park Group,Kellogg,2
Hill & Knowlton,Kellogg,2
Paul Taaffe,Kellogg,2
ExxonMobil,Kelly Loeffler,2
David Bossie,Kellyanne Conway,2
Rick Gates,Kellyanne Conway,2
Mike Johnson,Kemi Badenoch,2
Norm Augustine,Ken Adelman,2
AIPAC,Ken Calvert,2
BNB Ventures,Ken Calvert,2
Nelson Garcia,Ken Calvert,2
Trevor Laky,Ken Cuccinelli,2
Jeffrey Clark,Ken Klukowski,2
Larry Summers,Ken Lay,2
Sue Walden,Ken Lay,2
Farris Wilks,Ken Paxton,2
Ted Cruz,Ken Paxton,2
Tim Dunn,Ken Paxton,2
Tim Dunn Fortune,Ken Paxton,2
Grant Leslie,Ken Salazar,2
Hogan Lovells,Ken Salazar,2
JPMorgan Chase,Ken Salazar,2
SPS Studios,Ken Salazar,2
Xcel Energy,Ken Salazar,2
Brett Kavanaugh,Ken Starr,2
Gene Schaerr,Ken Starr,2
John Roberts,Ken Starr,2
Julie Myers,Ken Starr,2
Jason Lobo,Ketchum,2
Karen Doyne,Ketchum,2
AIPAC,Kevin Cramer,2
BNB Ventures,Kevin Cramer,2
ConocoPhillips,Kevin Cramer,2
Quantum Capital Group,Kevin Cramer,2
Julie Kirchner,Kevin McAleenan,2
Altria,Kevin McCarthy,2
ConocoPhillips,Kevin McCarthy,2
CoreCivic,Kevin McCarthy,2
ExxonMobil,Kevin McCarthy,2
John Stipicevic,Kevin McCarthy,2
Mercer Fortune,Kevin McCarthy,2
Tim Pataki,Kevin McCarthy,2
JD Vance,Kevin Roberts,2
Sam Randazzo,Kevon Martis,2
American Electric Power,Keystone Center,2
AstraZeneca,Keystone Center,2
Coca-Cola,Keystone Center,2
Duke Energy,Keystone Center,2
DuPont,Keystone Center,2
General Electric,Keystone Center,2
Merck,Keystone Center,2
Monsanto,Keystone Center,2
PepsiCo,Keystone Center,2
Weyerhaeuser,Keystone Center,2
World Resources Institute,Keystone Center,2
Xcel Energy,Keystone Center,2
Andrii Derkach,KGB,2
Sergei Chemezov,KGB,2
Shabtai Kalmanovich,KGB,2
Vladimir Putin,KGB,2
Omar al-Bayoumi,Khalid al-Mihdhar,2
Abdullah Bakhsh,Khalid bin Mahfouz,2
Yassin Kadi,Khalid bin Mahfouz,2
Adnan Khashoggi,Kim Roosevelt,2
Edelman,Kimberly-Clark,2
Ian Read,Kimberly-Clark,2
James Miller,King & Spalding,2
Michael Taylor,King & Spalding,2
Michael Taylor,King & Spalding,2
Stephen Vaughn,King & Spalding,2
U.S. Steel,King & Spalding,2
Allen Dickerson,Kirkland & Ellis,2
Brett Kavanaugh,Kirkland & Ellis,2
Jeffrey Clark,Kirkland & Ellis,2
John Eastman,Kirkland & Ellis,2
Ken Starr,Kirkland & Ellis,2
Pat Cipollone,Kirkland & Ellis,2
AIG,Kissinger Associates,2
Bill Richardson,Kissinger Associates,2
Bill Simon,Kissinger Associates,2
Goldman Sachs,Kissinger Associates,2
Henry Kissinger,Kissinger Associates,2
Hollinger,Kissinger Associates,2
Jami Miscik,Kissinger Associates,2
Lehman Brothers,Kissinger Associates,2
Mack McLarty,Kissinger Associates,2
Merck,Kissinger Associates,2
Paul Bremer,Kissinger Associates,2
Peter Carington,Kissinger Associates,2
Richard Burt,Kissinger Associates,2
Rio Tinto,Kissinger Associates,2
David Duke,KKK,2
Don Black,KKK,2
Paul Fromm,KKK,2
Berman & Company,KKR,2
Covington & Burling,KKR,2
David Cote,KKR,2
HCA Healthcare,KKR,2
Jack Keane,KKR,2
Marshall Wace,KKR,2
Marshall Wace Asset Management,KKR,2
Peter O’Hagan,KKR,2
Spur Energy Partners,KKR,2
Threshold Editions,KKR,2
Thomas Klingenstein,Klingenstein Fortune,2
Doug Lamborn,Knesset Christian Allies Caucus,2
Eric Cantor,Knesset Christian Allies Caucus,2
Mike Pence,Knesset Christian Allies Caucus,2
Yuri Stern,Knesset Christian Allies Caucus,2
Austin Stone,Knight Takes Rook,2
Jake Denton,Knight Takes Rook,2
Nick Lindquist,Knight Takes Rook,2
Parker Magid,Knight Takes Rook,2
Alexander Haig,Knights of Malta,2
Bill Simon,Knights of Malta,2
Erik Prince,Knights of Malta,2
Frank Shakespeare,Knights of Malta,2
Leonard Leo,Knights of Malta,2
Michael Joyce,Knights of Malta,2
Peter Grace,Knights of Malta,2
Phyllis Schlafly,Knights of Malta,2
Rupert Murdoch,Knights of Malta,2
William Casey,Knights of Malta,2
William Simon,Knights of Malta,2
Charles Koch,Knowledge and Progress Fund,2
Mark Humphrey,Knowledge and Progress Fund,2
Richard Fink,Knowledge and Progress Fund,2
Larry Ellison,Knowledge Universe,2
Lowell Milken,Knowledge Universe,2
Michael Milken,Knowledge Universe,2
Jacob Wallenberg,Knut and Alice Wallenberg Foundation,2
Marcus Wallenberg,Knut and Alice Wallenberg Foundation,2
Peter Wallenberg Jr.,Knut and Alice Wallenberg Foundation,2
Michael Morgan,Koch Companies,2
Charles Koch,Koch Inc,2
David Koch,Koch Inc,2
Charles Koch,Koch Industries,2
David Koch,Koch Industries,2
Flint Hills Resources,Koch Industries,2
Fred Koch,Koch Industries,2
Mark Chenoweth,Koch Industries,2
Mark Holden,Koch Industries,2
Mark Humphrey,Koch Industries,2
Matt Schlapp,Koch Industries,2
Michael Morgan,Koch Industries,2
Nancy Pfotenhauer,Koch Industries,2
Pater Ventimiglia,Koch Industries,2
Richard Fink,Koch Industries,2
Sean Noble,Koch Industries,2
Antonin Scalia,Koch Network,2
Charles Koch,Koch Network,2
Clarence Thomas,Koch Network,2
Craig Snider,Koch Network,2
Dian Stai,Koch Network,2
Doug Ducey,Koch Network,2
George Pearson,Koch Network,2
Jim Stephenson,Koch Network,2
John Childs,Koch Network,2
John Schnatter,Koch Network,2
Josh Hawley,Koch Network,2
Ken Griffin,Koch Network,2
Koch Companies,Koch Network,2
Mark Holden,Koch Network,2
Matt Bevin,Koch Network,2
Matt Schlapp,Koch Network,2
Mercer Fortune,Koch Network,2
Michael Morgan,Koch Network,2
Mike Lee,Koch Network,2
Richard Gilliam,Koch Network,2
Robert Mercer,Koch Network,2
Robert Rowling,Koch Network,2
Scott Walker,Koch Network,2
Sean Noble,Koch Network,2
Singer Fortune,Koch Network,2
Stephen Moore,Koch Network,2
Themis,Koch Network,2
Tina Snider,Koch Network,2
Tom Rastin,Koch Network,2
Natasha Kagalovsky,Konstantin Kagalovsky,2
Alex van der Zwaan,Konstantin Kilimnik,2
Lev Parnas,Konstantin Kilimnik,2
Rick Gates,Konstantin Kilimnik,2
Sam Patten,Konstantin Kilimnik,2
Sergey Petrushin,Konstantin Kilimnik,2
Bo Hi Pak,Korean Cultural and Freedom Foundation,2
Richard Viguerie,Korean Cultural and Freedom Foundation,2
Michael Boskin,Koret Foundation,2
DDC Advocacy,KPMG,2
Guy Enright,KPMG,2
Leon Black,KPMG,2
Alfredo Ortiz,Kraft,2
Derek Crawford,Kraft,2
Edelman,Kraft,2
Dolphin Group,Krafts,2
Robert Krieble,Krieble Foundations,2
Corey Lewandowski,Kristi Noem,2
Jordan Stoick,Kristi Noem,2
Brian Michael Jenkins,Kroll,2
Jerome Hauer,Kroll,2
Marsh & McLennan,Kroll,2
Robert Hultslander,Kroll,2
William Lee,Kroll,2
Beny Steinmetz,Kushner Companies,2
Deutsche Bank,Kushner Companies,2
Freddie Mac,Kushner Companies,2
Jared Kushner,Kushner Companies,2
AIPAC,Kyrsten Sinema,2
ConocoPhillips,Kyrsten Sinema,2
Harlan Crow,Kyrsten Sinema,2
Quantum Capital Group,Kyrsten Sinema,2
Jack Owen,L-3 Crestview Aerospace,2
Vinnell,L-3 MPRI,2
William Kernan,L-3 MPRI,2
Alexey Kuzmichev,L1 Energy,2
Andrew Gould,L1 Energy,2
James Hackett,L1 Energy,2
John Browne,L1 Energy,2
Mervyn Davies,L1 Energy,2
Mikhail Fridman,L1 Energy,2
Stan Polvets,L1 Energy,2
Jay Garner,L3Harris,2
Richard Armitage,L3Harris,2
Beat Hess,Lafarge,2
Nassef Sawiris,Lafarge,2
CoreCivic,Lamar Smith,2
Mindy Finn,Lamar Smith,2
Beth Ford,Land O'Lakes,2
Beth Ford,Land O'Lakes,2
Anschutz Fortune,Landmark Legal Foundation,2
Bill Dunn Fortune,Landmark Legal Foundation,2
Bradley Foundation,Landmark Legal Foundation,2
Castle Rock Foundation,Landmark Legal Foundation,2
Clint Bolick,Landmark Legal Foundation,2
Coors Fortune,Landmark Legal Foundation,2
DonorsTrust/Donors Capital Fund,Landmark Legal Foundation,2
Ed Meese,Landmark Legal Foundation,2
ExxonMobil,Landmark Legal Foundation,2
John M. Oilin Foundation,Landmark Legal Foundation,2
Ken Starr,Landmark Legal Foundation,2
Koch Network,Landmark Legal Foundation,2
Larry Arnn,Landmark Legal Foundation,2
Mark Leivin,Landmark Legal Foundation,2
Mark Levin,Landmark Legal Foundation,2
Mellon Scaife Fortune,Landmark Legal Foundation,2
Philip M. McKenna Foundation,Landmark Legal Foundation,2
Richard Mellon Scaife,Landmark Legal Foundation,2
Timothy Mellon,Landmark Legal Foundation,2
Uihlein Fortune,Landmark Legal Foundation,2
Walter Williams,Landmark Legal Foundation,2
Jack Kemp,Larry Ellison,2
Bonnie Glick,Larry Hogan,2
Jeffrey Epstein,Larry Summers,2
Paul Weyrich,Laszlo Pasztor,2
Drew Ensign,Latham & Watkins,2
Linda Fisher,Latham & Watkins,2
Roderick Hills,Latham & Watkins,2
Ali Alexander,Laura Loomer,2
Jacob Wohl,Laura Loomer,2
Robert Shillman,Laura Loomer,2
Liam Donovan,Lauren Chen,2
Nayirah al-Ṣabaḥ,Lauri Fitz-Pegado,2
Norm Coleman,Laurie Coleman,2
Tom Daschle,Laurie Fulton,2
Andrew Beck,Law & Liberty,2
Austin Stone,Law & Liberty,2
Beck & Stone,Law & Liberty,2
Larry Hochberg Family Foundation,Lawfare Project,2
Snider Fortune,Lawfare Project,2
Andrew J.B. Mitchell,Lazard,2
Nat Rothschild,Lazard,2
Peter Mandelson,Lazard,2
Bo Gritz,LDS,2
Edelman,LDS,2
Edelman,LDS,2
Matthew Holland,LDS,2
Richard Mack,LDS,2
Vanguard Charitable Endowment Program,LDS,2
Alexandre de Marenches,Le Cercle,2
Antonin Scalia,Le Cercle,2
Brian Crozier,Le Cercle,2
CIA,Le Cercle,2
Committee for the Free World,Le Cercle,2
Donald Rumsfeld,Le Cercle,2
George H.W. Bush,Le Cercle,2
Giulio Andreotti,Le Cercle,2
Henry Kissinger,Le Cercle,2
John Bolton,Le Cercle,2
John Negroponte,Le Cercle,2
Jonathan Aitken,Le Cercle,2
Lord Chalfont,Le Cercle,2
Margaret Thatcher,Le Cercle,2
Norman Lamont,Le Cercle,2
Paul Volcker,Le Cercle,2
Ray Cline,Le Cercle,2
Richard Nixon,Le Cercle,2
Robert Moss,Le Cercle,2
William Casey,Le Cercle,2
William Colby,Le Cercle,2
David Wilhelm,Leadership 2000,2
Mike Lux,Leadership 2000,2
WLK Associates,Leadership 2000,2
David Wilhelm,Leadership for the New Century,2
Mike Lux,Leadership for the New Century,2
Ogilvy,Leadership for the New Century,2
Albert and Ethel Herzstein Charitable Foundation,Leadership Institute,2
Anschutz Fortune,Leadership Institute,2
Armstrong Fortune,Leadership Institute,2
Bader Fortune,Leadership Institute,2
Bill Dunn Fortune,Leadership Institute,2
ClearWord Communications,Leadership Institute,2
DonorsTrust/Donors Capital Fund,Leadership Institute,2
Grover Norquist,Leadership Institute,2
Hertog Fortune,Leadership Institute,2
James O'Keefe,Leadership Institute,2
Koch Network,Leadership Institute,2
Milstein Fortune,Leadership Institute,2
Morton Blackwell,Leadership Institute,2
Prince Fortune,Leadership Institute,2
Ralph Reed,Leadership Institute,2
Schwab Charitable Fund,Leadership Institute,2
Steve Stockman,Leadership Institute,2
Thomas Keeley,Leadership Institute,2
Uihlein Fortune,Leadership Institute,2
Vanguard Charitable Endowment Program,Leadership Institute,2
Clyde Wilson,League of the South,2
Jeffrey Tucker,League of the South,2
Michael Peroutka,League of the South,2
Thomas DiLorenzo,League of the South,2
Thomas Fleming,League of the South,2
Thomas Woods,League of the South,2
Tom Woods,League of the South,2
Arron Banks,Leave.EU ,2
Elizabeth Bilney,Leave.EU ,2
Ed Rogers,Lee Atwater,2
Mary Matalin,Lee Atwater,2
Todd Blodgett,Lee Atwater,2
Daniel Pipes,Legal Project,2
Middle East Forum,Legal Project,2
Christopher Chandler,Legatum,2
GB News,Legatum,2
Koch Network,Legatum,2
Mellon Scaife Fortune,Legatum,2
Prosperity Institute,Legatum,2
Ryan Streeter,Legatum,2
Arthur Ally,Lehman Brothers,2
Bruce Jackson,Lehman Brothers,2
Clark & Weinstock,Lehman Brothers,2
Diana Taylor,Lehman Brothers,2
Gavin Anderson & Company,Lehman Brothers,2
James Schlesinger,Lehman Brothers,2
Jami Miscik,Lehman Brothers,2
Larry Summers,Lehman Brothers,2
Pete Peterson,Lehman Brothers,2
Raheem Kassam,Lehman Brothers,2
Roger Altman,Lehman Brothers,2
Stephen Schwarzman,Lehman Brothers,2
Vincent Tchenguiz,Lehman Brothers,$2
Bobby Ray Inman,Leidos,2
John Deutch,Leidos,2
Melvin Laird,Leidos,2
William Perry,Leidos,2
Tom Daschle,Leo Hindery,2
Benjamin Black,Leon Black,2
Eli Black,Leon Black,2
Amy Kass,Leon Kass,2
Marty Peretz,Leon Wieseltier,2
William Lauder,Leonard Lauder,2
Ed Martin,Leonard Leo,2
Greg Mueller,Leonard Leo,2
Marble Freedom Trust,Leonard Leo,2
Marlyn Lloyd,Leonard Leo,2
Seid Fortune,Leonard Leo,2
Jeffrey Galmond ,Leonid Reiman,2
Ali Erfan,Leor Energy,2
Guma Aguiar,Leor Energy,2
Thomas Kaplan,Leor Energy,2
Altria,Lesher & Russell,2
PepsiCo,Lesher & Russell,2
Randy Russell,Lesher & Russell,2
Tyson Redpath,Lesher & Russell,2
William Lesher,Lesher & Russell,2
Alexey Kuzmichev,LetterOne,2
BGR Group,LetterOne,2
Franz Humer,LetterOne,2
German Khan,LetterOne,2
Holland & Barrett,LetterOne,2
L1 Energy,LetterOne,2
Mervyn Davies,LetterOne,2
Mikhail Fridman,LetterOne,2
Richard Burt,LetterOne,2
TNK-BP,LetterOne,2
Wulf von Schimmelmann,LetterOne,2
Wulf von Schimmelmann,LetterOne,2
John Dowd,Lev Parnas,2
Corey Lewandowski,Lewandowski Strategic Advisors,2
David Bossie,Lewandowski Strategic Advisors,2
Jeffrey Tucker,LewRockwell.com,2
Thomas DiLorenzo,LewRockwell.com,2
Michael Craven,Lexington Communications,2
Lauren Chen,Liam Donovan,2
Association of American Physicians and Surgeons,Libertarian Party,2
Burton Gray,Libertarian Party,2
Charles Koch,Libertarian Party,2
David Koch,Libertarian Party,2
Ed Crane,Libertarian Party,2
Eric O'Keefe,Libertarian Party,2
Gale Norton,Libertarian Party,2
Gary Johnson,Libertarian Party,2
Jeffrey Tucker,Libertarian Party,2
Kare Kwiatkowski,Libertarian Party,2
Koch Network,Libertarian Party,2
Lew Rockwell,Libertarian Party,2
Mary Matalin,Libertarian Party,2
Richard Mack,Libertarian Party,2
Roger Stone,Libertarian Party,2
Bill Dunn Fortune,Libertas Institute,2
DonorsTrust/Donors Capital Fund,Libertas Institute,2
Koch Network,Libertas Institute,2
Roe Fortune,Libertas Institute,2
State Policy Network,Libertas Institute,2
Thomas Smith Fortune,Libertas Institute,2
Vanguard Charitable Endowment Program,Libertas Institute,2
Cleta Mitchell,Liberty Central,2
CPAC,Liberty Central,2
CRC Advisors,Liberty Central,2
Ginni Thomas,Liberty Central,2
Harlan Crow,Liberty Central,2
Leonard Leo,Liberty Central,2
Matt Schlapp,Liberty Central,2
Neil Corkery,Liberty Central,2
AT&T,Liberty Consulting,2
Bell,Liberty Consulting,2
Ginni Thomas,Liberty Consulting,2
GTE,Liberty Consulting,2
Sprint,Liberty Consulting,2
Verizon,Liberty Consulting,2
DonorsTrust/Donors Capital Fund,Liberty Counsel,2
Kindt Christian Charitable Trust,Liberty Counsel,2
Mathew Staver,Liberty Counsel,2
DonorsTrust/Donors Capital Fund,Liberty Fund,2
Gordon Tullock,Liberty Fund,2
James Buchanan,Liberty Fund,2
Michael Boskin,Liberty Fund,2
Milton Friedman,Liberty Fund,2
Mitch Daniels,Liberty Fund,2
Pierre Goodrich,Liberty Fund,2
Templeton Fortune,Liberty Fund,2
Bradley Foundation,Liberty Justice Center,2
Richard Uihlein,Liberty Justice Center,2
Robert Mercer,Liberty Justice Center,2
Uihlein Fortune,Liberty Justice Center,2
Todd Blodgett,Liberty Lobby,2
Willis Carto,Liberty Lobby,2
Bob Good,Liberty University,2
Bobby Jindal,Liberty University,2
Clarence Thomas,Liberty University,2
Donald Trump,Liberty University,2
Gary Johnson,Liberty University,2
George H. W. Bush,Liberty University,2
Jeb Bush,Liberty University,2
Jerry Falwell,Liberty University,2
Jimmy Carter,Liberty University,2
John Gauger,Liberty University,2
John McCain,Liberty University,2
Johnny Moore,Liberty University,2
Mike Pence,Liberty University,2
Mitt Romney,Liberty University,2
Nathan Wilson,Liberty University,2
News World Communications,Liberty University,2
Newt Gingrich,Liberty University,2
Ronald Reagan,Liberty University,2
Ryan Helfenbein,Liberty University,2
Shannon Bream,Liberty University,2
Tim LaHaye,Liberty University,2
Tony Perkins,Liberty University,2
Unification Church,Liberty University,2
Adelson Fortune,Libi,2
David Hochberg Foundation,Libi,2
Jewish Communal Fund,Libi,2
Marcus Fortune,Libi,2
American Encore,Libre Initiative,2
Koch Network,Libre Initiative,2
Jan Marsalek,Libyan Cement Company,2
Michael Ledeen,Licio Gelli,2
Stefano Delle Chiaie,Licio Gelli,2
Avigdor Lieberman ,Likud Party,2
Benjamin Netanyahu,Likud Party,2
Christians United for Israel,Likud Party,2
Committee for U.S. Interests in the Middle East,Likud Party,2
David Wurmser,Likud Party,2
Douglas Feith,Likud Party,2
Eitan Livni,Likud Party,2
Haim Landau,Likud Party,2
Institute for Advanced Strategic and Political Studies,Likud Party,2
JINSA,Likud Party,2
Lawrence Franklin,Likud Party,2
Menachem Begin,Likud Party,2
Meyrav Wurmser,Likud Party,2
Moshe Ya'alon,Likud Party,2
Naftali Bennett,Likud Party,2
Paul Wolfowitz,Likud Party,2
Richard Perle,Likud Party,2
Ronald Lauder,Likud Party,2
Tzipi Livni,Likud Party,2
Washington Institute for Near East Policy,Likud Party,2
Yitzhak Shamir,Likud Party,2
Eli Lilly,Lilly Endowment,2
Bill Cowan,Lincoln Group,2
BKSH & Associates,Lincoln Group,2
Charles Black,Lincoln Group,2
Devon Gaffney Cross,Lincoln Group,2
Michael Rubin,Lincoln Group,2
WVC3 Group,Lincoln Group,2
Bradley Foundation,Lincoln Network,2
Diana Davis Spencer Foundation,Lincoln Network,2
DonorsTrust/Donors Capital Fund,Lincoln Network,2
Human Diversity Foundation/Pioneer Fund,Linda Gottfredson,2
Tom Daschle,Linda Hall,2
Access Industries,Lindsey Graham,2
ExxonMobil,Lindsey Graham,2
Joseph Mifsud,Link Campus University,2
Stephan Roh,Link Campus University,2
James Riady,Lippo Group,2
ConocoPhillips,Lisa Murkowski,2
ExxonMobil,Lisa Murkowski,2
Bob Livingston,Livingston Group,2
Bob Livingston,Livingston Group,2
Citigroup,Livingston Group,2
Lauri Fitz-Pegado,Livingston Group,2
Dick Cheney,Liz Cheney ,2
Lynne Cheney,Liz Cheney ,2
AIPAC,Lizzie Fletcher,2
ConocoPhillips,Lizzie Fletcher,2
Roger Altman,Lloyd Bentsen,2
Ronald Platt,Lloyd Bentsen,2
Adnan Khashoggi,Lockheed Martin,2
Anne Stevens,Lockheed Martin,2
Anne Stevens,Lockheed Martin,2
Bruce Jackson,Lockheed Martin,2
Charles Kupperman,Lockheed Martin,2
Clark & Weinstock,Lockheed Martin,2
Cohen Group,Lockheed Martin,2
Colgen,Lockheed Martin,2
Douglas Feith,Lockheed Martin,2
Douglas Graham,Lockheed Martin,2
Douglas Yearley,Lockheed Martin,2
Douglas Yearley,Lockheed Martin,2
Feith & Zell,Lockheed Martin,2
Frank Savage,Lockheed Martin,2
Frank Savage,Lockheed Martin,2
James Comey,Lockheed Martin,2
James Loy,Lockheed Martin,2
Joseph Ralston,Lockheed Martin,2
Joseph Ralston,Lockheed Martin,2
L-3 Crestview Aerospace,Lockheed Martin,2
Linda Hall,Lockheed Martin,2
Marillyn Hewson,Lockheed Martin,2
Marillyn Hewson,Lockheed Martin,2
Norm Augustine,Lockheed Martin,2
Norm Augustine,Lockheed Martin,2
Norm Augustine,Lockheed Martin,2
Norman Mineta,Lockheed Martin,2
Orion Strategies,Lockheed Martin,2
Otto Reich,Lockheed Martin,2
Randy Scheunemann,Lockheed Martin,2
Robert Blackwill,Lockheed Martin,2
Stephen Goldsmith,Lockheed Martin,2
Vance Coffman,Lockheed Martin,2
Vin Weber,Lockheed Martin,2
Deroy Murdock,London Center for Policy Research,2
Gordon Chang,London Center for Policy Research,2
Herbert London,London Center for Policy Research,2
Jim Woolsey,London Center for Policy Research,2
Monica Crowley,London Center for Policy Research,2
Walid Phares,London Center for Policy Research,2
Frances Crook,Lonmin/Lonrho,2
Richard Needham,Lonmin/Lonrho,2
